name,link,price,category
NPP,https://www.plastic4trade.com/salepost-supplier/npp/pp-scrap-injection-molding,₹ 85,pp
PP,https://www.plastic4trade.com/salepost-supplier/pp-38/pp-grinding-mix-scrap,$ 061,pp
ALL TYPES PP DANA,https://www.plastic4trade.com/salepost-supplier/all-types-pp-dana-17/pp-reprocess-granule-raffia,₹ 45,pp
PP MIX COLOR SCRAP,https://www.plastic4trade.com/salepost-supplier/pp-mix-color-scrap-1/pp-grinding-mix-scrap,₹ 28,pp
PP ROLLS AND PP BAGS,https://www.plastic4trade.com/salepost-supplier/pp-rolls-and-pp-bags-1/pp-finish-goods-raffia,₹ 100,pp
ALL TYPE PP SCRAP GRINDING,https://www.plastic4trade.com/salepost-supplier/all-type-pp-scrap-grinding-36/pp-scrap-mix-scrap,₹ 42,pp
ALL TYPE PP SCRAP GRINDING,https://www.plastic4trade.com/salepost-supplier/all-type-pp-scrap-grinding-34/pp-grinding-injection-molding,₹ 35,pp
PP BLACK,https://www.plastic4trade.com/salepost-supplier/pp-black-1/pp-grinding-injection-molding,₹ 25,pp
SYRINGE GREY DANDI CUTTING RABBER MI,https://www.plastic4trade.com/salepost-supplier/syringe-grey-dandi-cutting-rabber-mi/pp-mix-material-mix-scrap,₹ 45,pp
PP DANA,https://www.plastic4trade.com/salepost-supplier/pp-dana-21/pp-filler-blow,₹ 69,pp
BLACK PP,https://www.plastic4trade.com/salepost-supplier/black-pp-20/pp-filler-film-grade,₹ 55,pp
PP BOROUGE RJ768MO,https://www.plastic4trade.com/salepost-supplier/pp-borouge-rj768mo/pp-prime-virgin-injection-molding,₹ 92,pp
WHITE PP NATURAL PP,https://www.plastic4trade.com/salepost-supplier/white-pp-natural-pp-1/pp-grinding-blow,₹ 22,pp
GRANUELS  AND SCRAP,https://www.plastic4trade.com/salepost-supplier/granuels--and-scrap-1/pp-grinding-injection-molding,₹ 59,pp
DUNNAGE AIR BAG,https://www.plastic4trade.com/salepost-supplier/dunnage-air-bag/pp-stock-lots-raffia,₹ 130,pp
PPHP BLACK,https://www.plastic4trade.com/salepost-supplier/pphp-black/pp-finish-goods-raffia,₹ 72,pp
PPCP BLACK,https://www.plastic4trade.com/salepost-supplier/ppcp-black-2/pp-finish-goods-mix-scrap,₹ 70,pp
WATER TANKS,https://www.plastic4trade.com/salepost-supplier/water-tanks-5/pp-off-grade-blow,₹ 2150,pp
PP OPAL MH13,https://www.plastic4trade.com/salepost-supplier/pp-opal-mh13/pp-prime-virgin-injection-molding,₹ 83,pp
PP RANDOM SRX100,https://www.plastic4trade.com/salepost-supplier/pp-random-srx100/pp-prime-virgin-injection-molding,₹ 96,pp
PP JUMBO GRINDING,https://www.plastic4trade.com/salepost-supplier/pp-jumbo-grinding/pp-grinding-mix-scrap,₹ 2,pp
LUMPS (GULLA),https://www.plastic4trade.com/salepost-supplier/lumps-gulla-2/pp-lumps-raffia,₹ 28,pp
PP BLACK,https://www.plastic4trade.com/salepost-supplier/pp-black/pp-reprocess-granule-cable,₹ 2,pp
PP / PPCP,https://www.plastic4trade.com/salepost-supplier/pp--ppcp/pp-grinding-mix-scrap,₹ 00000,pp
POLYPROPYLENE GRANULES,https://www.plastic4trade.com/salepost-supplier/polypropylene-granules/pp-reprocess-granule-injection-molding,₹ 9,pp
