name,price,url,category,city
"Steel NEW RAIL A65, For Metal Industry",92.0,https://www.indiamart.com/proddetail/new-rail-a65-2851745274491.html,ferrous-metal-scrap,ahmedabad
"Recyclable Aluminium Radiator Scrap, For Automobile Industry",135.0,https://www.indiamart.com/proddetail/recyclable-aluminium-radiator-scrap-19968769848.html,ferrous-metal-scrap,ahmedabad
SS Foundry Scrap,51.0,https://www.indiamart.com/proddetail/ss-foundry-scrap-7316903662.html,ferrous-metal-scrap,ahmedabad
Black iron and steel Di Pipe Scrap,46.0,https://www.indiamart.com/proddetail/di-pipe-scrap-2850267084773.html,ferrous-metal-scrap,agra
"Aluminium Radiator Scrap, For Foundry Industry",140.0,https://www.indiamart.com/proddetail/aluminium-radiator-scrap-2850031289333.html,ferrous-metal-scrap,agra
MS(IRON) Ferrous Metal Scrap,35.0,https://www.indiamart.com/proddetail/ferrous-metal-scrap-27509434048.html,ferrous-metal-scrap,agra
Cast Iron Scrap,50.0,https://www.indiamart.com/tomarenterprises/,ferrous-metal-scrap,agra
"Heavy Metal Iron Scrap, For Foundry",42.0,https://www.indiamart.com/proddetail/heavy-metal-iron-scrap-2849364033673.html,ferrous-metal-scrap,agra
Old Iron Scrap,17.0,https://www.indiamart.com/payal-entp-agra/,ferrous-metal-scrap,agra
Used Iron Scrap,40.0,https://www.indiamart.com/ms-varsha-enterprises/,ferrous-metal-scrap,agra
"Iron Scrap, For Metal Industry, 50 Kg",30.0,https://www.indiamart.com/proddetail/iron-scrap-26751078962.html,ferrous-metal-scrap,agra
Cast Iron Scrap,42.0,https://www.indiamart.com/singhal-shot-blast/,ferrous-metal-scrap,agra
"Cast Iron Boring Scrap, For Foundry Industry",41.0,https://www.indiamart.com/proddetail/cast-iron-boring-scrap-24273743255.html,ferrous-metal-scrap,amritsar
C I Scrap,46.0,https://www.indiamart.com/om-prakashsons/,ferrous-metal-scrap,amritsar
Ferrous Metal Scrap,100.0,https://www.indiamart.com/pardhan-steels/,ferrous-metal-scrap,amritsar
Ferrous Metal Scrap,35.0,https://www.indiamart.com/proddetail/ferrous-metal-scrap-25318250791.html,ferrous-metal-scrap,allahabad
"Pig Iron Scrap, For Foundry Industry",25.0,https://www.indiamart.com/proddetail/pig-iron-scrap-17746276655.html,ferrous-metal-scrap,allahabad
"Cast Iron Scrap, For Foundry Industry",45.0,https://www.indiamart.com/proddetail/cast-iron-scrap-19154259530.html,ferrous-metal-scrap,allahabad
Scrap,450.0,https://www.indiamart.com/vaishnav-electronics-and-metal-scrap/,ferrous-metal-scrap,allahabad
Iron Scrap,40.0,https://www.indiamart.com/devansh-scarp-works/,ferrous-metal-scrap,allahabad
Scrap,0.05,https://www.indiamart.com/proddetail/scrap-25402295991.html,ferrous-metal-scrap,allahabad
Scrap Iron Plate,49.0,https://www.indiamart.com/nitin-enterprises-prayagraj/,ferrous-metal-scrap,allahabad
"Aluminum Vehicle Radiator Scrap, For Automobile",145.0,https://www.indiamart.com/proddetail/aluminum-vehicle-radiator-scrap-2850622367388.html,ferrous-metal-scrap,amroha
Loha Scrap,39.0,https://www.indiamart.com/malik-traders-dhanaura/,ferrous-metal-scrap,amroha
Loha Scrap,0.047,https://www.indiamart.com/malik-terders/,ferrous-metal-scrap,amroha
Iron Scrap,19.0,https://www.indiamart.com/bharat-scrap-traders-gajraula/,ferrous-metal-scrap,amroha
"Galvanised Iron Scrap, For Metal Industry, 25 Kg",1.0,https://www.indiamart.com/company/180024845/,ferrous-metal-scrap,amroha
"Heavy Metal Iron Scrap, For Foundry",42.0,https://www.indiamart.com/proddetail/heavy-metal-iron-scrap-2849364033673.html,ferrous-metal-scrap,aligarh
"Aluminium Gray Radiator Scrap, For Melting, Size: Aluminum",125.0,https://www.indiamart.com/proddetail/radiator-scrap-21770709462.html,ferrous-metal-scrap,aligarh
"Iron Scrap, For Metal Industry",42.0,https://www.indiamart.com/proddetail/iron-scrap-16842188855.html,ferrous-metal-scrap,aligarh
"Aluminum Vehicle Radiator Scrap, For Automobile",145.0,https://www.indiamart.com/proddetail/aluminum-vehicle-radiator-scrap-2850622367388.html,ferrous-metal-scrap,aligarh
HR Off Cut Scrape,54.0,https://www.indiamart.com/nadim-scrap-traders/,ferrous-metal-scrap,aligarh
Ferrous Waste And Scrap,720.0,https://www.indiamart.com/nisha-industries-aligarh/,ferrous-metal-scrap,aligarh
